nome	horario
* DBQ0046 - MODELAGEM COMPUTACIONAL DE BIOMOLÉCULAS	5T56
#* DFS0209 - EVOLUCAO DO COMPORTAMENTO HUMANO	24T56
* DMP0062 - POLUIÇAO E TOXICOLOGIA	5N1234
* MOR0083 - PATOLOGIA BÁSICA E DIAGNÓSTICO DE DOENÇAS I	2N12 35N34
* DBF0025 - METODOLOGIA CIENTÍFICA	3N12
* DBF0209 - FARMACOLOGIA PARA BIOMEDICINA	2N12 45N34
#DBQ0045 - BIOINFORMÁTICA	2N34 6N12
#* DMP0043 - MICOLOGIA MÉDICA	35N34
* DMP0048 - IMUNOLOGIA APLICADA PARA BIOMEDICINA	35N12
* DSC0139 - EPIDEMIOLOGIA	2N34 4N12
* DSC0139 - EPIDEMIOLOGIA	45T45
#DBF0019 - IMAGENOLOGIA	46N34
* DBF0030 - FUNDAMENTOS DA ACUPUNTURA	5T2345
* DBF0030 - FUNDAMENTOS DA ACUPUNTURA	24N12
